fips_st_cnty,cnty_name_st_abbrev,hpsa_prim_care_25,phys_nf_prim_care_pc_exc_rsdt_23,popn_23
1001,"Autauga, AL",1,22,60342
1003,"Baldwin, AL",2,172,253507
1005,"Barbour, AL",1,7,24585
1007,"Bibb, AL",1,26,21868
1009,"Blount, AL",1,10,59816
1011,"Bullock, AL",1,2,9897
1013,"Butler, AL",1,5,18382
1015,"Calhoun, AL",2,60,116429
1017,"Chambers, AL",1,12,34079
1019,"Cherokee, AL",1,10,25666
1021,"Chilton, AL",2,11,46431
1023,"Choctaw, AL",1,6,12252
1025,"Clarke, AL",1,10,22337
1027,"Clay, AL",1,4,14111
1029,"Cleburne, AL",1,4,15639
1031,"Coffee, AL",2,26,55643
1033,"Colbert, AL",2,37,58361
1035,"Conecuh, AL",2,5,11174
1037,"Coosa, AL",1,0,10268
1039,"Covington, AL",2,19,37952
1041,"Crenshaw, AL",1,2,13101
1043,"Cullman, AL",2,43,92016
1045,"Dale, AL",2,10,49871
1047,"Dallas, AL",1,41,36165
1049,"DeKalb, AL",1,31,72569
1051,"Elmore, AL",1,19,90441
1053,"Escambia, AL",1,9,36558
1055,"Etowah, AL",2,82,103241
1057,"Fayette, AL",1,6,15967
1059,"Franklin, AL",2,11,31802
1061,"Geneva, AL",1,8,26988
1063,"Greene, AL",1,3,7341
1065,"Hale, AL",1,3,14888
1067,"Henry, AL",0,7,17899
1069,"Houston, AL",0,110,108462
1071,"Jackson, AL",2,28,53467
1073,"Jefferson, AL",2,746,662895
1075,"Lamar, AL",1,0,13661
1077,"Lauderdale, AL",2,59,96814
1079,"Lawrence, AL",2,7,33502
1081,"Lee, AL",2,94,183215
1083,"Limestone, AL",2,38,114654
1085,"Lowndes, AL",1,1,9717
1087,"Macon, AL",1,6,18370
1089,"Madison, AL",2,358,412600
1091,"Marengo, AL",1,9,18684
1093,"Marion, AL",2,21,29244
1095,"Marshall, AL",2,52,100756
1097,"Mobile, AL",2,294,411640
1099,"Monroe, AL",1,8,19229
1101,"Montgomery, AL",2,237,224980
1103,"Morgan, AL",2,63,125133
1105,"Perry, AL",1,2,7738
1107,"Pickens, AL",1,6,18688
1109,"Pike, AL",2,16,33137
1111,"Randolph, AL",1,6,22786
1113,"Russell, AL",1,11,58744
1115,"St. Clair, AL",2,16,95552
1117,"Shelby, AL",0,175,233000
1119,"Sumter, AL",1,5,11727
1121,"Talladega, AL",2,29,81132
1123,"Tallapoosa, AL",2,17,40677
1125,"Tuscaloosa, AL",2,164,237373
1127,"Walker, AL",2,29,64728
1129,"Washington, AL",1,1,15022
1131,"Wilcox, AL",1,2,9944
1133,"Winston, AL",1,10,23611
2013,"Aleutians East (B), AK",1,0,3461
2016,"Aleutians West (CA), AK",1,2,5160
2020,"Anchorage (B), AK",2,330,286075
2050,"Bethel (CA), AK",1,15,18224
2060,"Bristol Bay (B), AK",1,0,844
2063,"Chugach (CA), AK",2,8,6769
2066,"Copper River (CA), AK",0,0,2674
2068,"Denali (B), AK",1,0,1584
2070,"Dillingham (CA), AK",2,11,4607
2090,"Fairbanks North Star (B), AK",2,84,94840
2100,"Haines (B), AK",2,5,2070
2105,"Hoonah-Angoon (CA), AK",1,0,2262
2110,"Juneau (B), AK",2,38,31555
2122,"Kenai Peninsula (B), AK",2,47,61223
2130,"Ketchikan Gateway (B), AK",1,17,13738
2150,"Kodiak Island (B), AK",2,19,12565
2158,"Kusilvak (CA), AK",1,0,8001
2164,"Lake and Peninsula (B), AK",2,0,1331
2170,"Matanuska-Susitna (B), AK",2,55,115239
2180,"Nome (CA), AK",1,14,9763
2185,"North Slope (B), AK",1,5,10603
2188,"Northwest Arctic (B), AK",1,5,7361
2195,"Petersburg (B), AK",1,5,3427
2198,"Prince of Wales-Hyder (CA), AK",1,7,5696
2220,"Sitka (B), AK",2,17,8282
2230,"Skagway Municipality (B), AK",1,0,1095
2240,"Southeast Fairbanks (CA), AK",1,1,7077
2261,"Valdez-Cordova (CA), AK",2,,
2275,"Wrangell (B), AK",1,3,2064
2282,"Yakutat (B), AK",1,0,687
2290,"Yukon-Koyukuk (CA), AK",1,1,5129
4001,"Apache, AZ",2,26,65036
4003,"Cochise, AZ",2,71,124640
4005,"Coconino, AZ",2,118,144472
4007,"Gila, AZ",2,26,54003
4009,"Graham, AZ",2,19,39525
4011,"Greenlee, AZ",2,6,9369
4012,"La Paz, AZ",2,4,16710
4013,"Maricopa, AZ",2,3087,4585871
4015,"Mohave, AZ",2,109,223682
4017,"Navajo, AZ",2,64,109175
4019,"Pima, AZ",2,907,1063162
4021,"Pinal, AZ",2,84,484239
4023,"Santa Cruz, AZ",2,19,49158
4025,"Yavapai, AZ",2,119,249081
4027,"Yuma, AZ",2,89,213221
5001,"Arkansas, AR",0,10,16307
